TIME,DATA_VALUE,retrieved_at
200812,67.649,2026-08-21
200901,67.274,2026-08-21
200902,67.106,2026-08-21
200903,66.988,2026-08-21
200904,67.028,2026-08-21
200905,67.1,2026-08-21
200906,67.23,2026-08-21
200907,67.414,2026-08-21
200908,67.627,2026-08-21
200909,68.111,2026-08-21
200910,68.369,2026-08-21
200911,68.543,2026-08-21
200912,68.64,2026-08-21
201001,68.728,2026-08-21
201002,68.928,2026-08-21
201003,69.099,2026-08-21
201004,69.233,2026-08-21
201005,69.265,2026-08-21
201006,69.272,2026-08-21
201007,69.207,2026-08-21
201008,69.173,2026-08-21
201009,69.239,2026-08-21
201010,69.383,2026-08-21
201011,69.65,2026-08-21
201012,69.936,2026-08-21
201101,70.263,2026-08-21
201102,70.826,2026-08-21
201103,71.516,2026-08-21
201104,72.105,2026-08-21
201105,72.606,2026-08-21
201106,72.964,2026-08-21
201107,73.261,2026-08-21
201108,73.623,2026-08-21
201109,74.024,2026-08-21
201110,74.318,2026-08-21
201111,74.612,2026-08-21
201112,74.737,2026-08-21
201201,74.853,2026-08-21
201202,74.979,2026-08-21
201203,75.092,2026-08-21
201204,75.173,2026-08-21
201205,75.209,2026-08-21
201206,75.183,2026-08-21
201207,75.097,2026-08-21
201208,75.022,2026-08-21
201209,74.909,2026-08-21
201210,74.824,2026-08-21
201211,74.767,2026-08-21
201212,74.715,2026-08-21
201301,74.675,2026-08-21
201302,74.631,2026-08-21
201303,74.597,2026-08-21
201304,74.599,2026-08-21
201305,74.589,2026-08-21
201306,74.559,2026-08-21
201307,74.556,2026-08-21
201308,74.528,2026-08-21
201309,74.566,2026-08-21
201310,74.718,2026-08-21
201311,74.849,2026-08-21
201312,74.992,2026-08-21
201401,75.077,2026-08-21
201402,75.199,2026-08-21
201403,75.411,2026-08-21
201404,75.566,2026-08-21
201405,75.617,2026-08-21
201406,75.669,2026-08-21
201407,75.739,2026-08-21
201408,75.841,2026-08-21
201409,76.048,2026-08-21
201410,76.273,2026-08-21
201411,76.427,2026-08-21
201412,76.568,2026-08-21
201501,76.67,2026-08-21
201502,76.844,2026-08-21
201503,77.162,2026-08-21
201504,77.543,2026-08-21
201505,77.831,2026-08-21
201506,78.189,2026-08-21
201507,78.521,2026-08-21
201508,78.828,2026-08-21
201509,79.198,2026-08-21
201510,79.467,2026-08-21
201511,79.806,2026-08-21
201512,79.951,2026-08-21
201601,80.018,2026-08-21
201602,80.075,2026-08-21
201603,80.103,2026-08-21
201604,80.136,2026-08-21
201605,80.188,2026-08-21
201606,80.261,2026-08-21
201607,80.365,2026-08-21
201608,80.467,2026-08-21
201609,80.577,2026-08-21
201610,80.771,2026-08-21
201611,80.975,2026-08-21
201612,81.034,2026-08-21
201701,81.053,2026-08-21
201702,81.062,2026-08-21
201703,81.083,2026-08-21
201704,81.114,2026-08-21
201705,81.156,2026-08-21
201706,81.297,2026-08-21
201707,81.488,2026-08-21
201708,81.682,2026-08-21
201709,81.751,2026-08-21
201710,81.843,2026-08-21
201711,81.955,2026-08-21
201712,82.039,2026-08-21
201801,82.192,2026-08-21
201802,82.37,2026-08-21
201803,82.575,2026-08-21
201804,82.715,2026-08-21
201805,82.798,2026-08-21
201806,82.878,2026-08-21
201807,82.974,2026-08-21
201808,83.151,2026-08-21
201809,83.969,2026-08-21
201810,84.441,2026-08-21
201811,84.569,2026-08-21
201812,84.635,2026-08-21
201901,84.652,2026-08-21
201902,84.596,2026-08-21
201903,84.507,2026-08-21
201904,84.39,2026-08-21
201905,84.335,2026-08-21
201906,84.261,2026-08-21
201907,84.255,2026-08-21
201908,84.302,2026-08-21
201909,84.347,2026-08-21
201910,84.426,2026-08-21
201911,84.545,2026-08-21
201912,84.84,2026-08-21
202001,85.139,2026-08-21
202002,85.454,2026-08-21
202003,85.931,2026-08-21
202004,86.128,2026-08-21
202005,86.247,2026-08-21
202006,86.664,2026-08-21
202007,87.427,2026-08-21
202008,88.107,2026-08-21
202009,88.808,2026-08-21
202010,89.402,2026-08-21
202011,90.683,2026-08-21
202012,91.92,2026-08-21
202101,93.014,2026-08-21
202102,94.281,2026-08-21
202103,95.523,2026-08-21
202104,96.536,2026-08-21
202105,97.462,2026-08-21
202106,98.739,2026-08-21
202107,99.891,2026-08-21
202108,101.386,2026-08-21
202109,102.929,2026-08-21
202110,104.008,2026-08-21
202111,105.156,2026-08-21
202112,105.682,2026-08-21
202201,105.978,2026-08-21
202202,106.198,2026-08-21
202203,106.302,2026-08-21
202204,106.526,2026-08-21
202205,106.793,2026-08-21
202206,106.899,2026-08-21
202207,106.899,2026-08-21
202208,106.749,2026-08-21
202209,106.58,2026-08-21
202210,105.993,2026-08-21
202211,104.822,2026-08-21
202212,103.746,2026-08-21
202301,102.388,2026-08-21
202302,101.578,2026-08-21
202303,100.737,2026-08-21
202304,99.954,2026-08-21
202305,99.372,2026-08-21
202306,99.128,2026-08-21
202307,98.942,2026-08-21
202308,98.886,2026-08-21
202309,98.947,2026-08-21
202310,99.009,2026-08-21
202311,99.009,2026-08-21
202312,98.929,2026-08-21
202401,98.814,2026-08-21
202402,98.737,2026-08-21
202403,98.632,2026-08-21
202404,98.6,2026-08-21
202405,98.519,2026-08-21
202406,98.449,2026-08-21
202407,98.473,2026-08-21
202408,98.585,2026-08-21
202409,98.743,2026-08-21
202410,98.831,2026-08-21
202411,98.859,2026-08-21
202412,98.773,2026-08-21
202501,98.652,2026-08-21
202502,98.555,2026-08-21
202503,98.522,2026-08-21
202504,98.554,2026-08-21
202505,98.6,2026-08-21
202506,98.734,2026-08-21
202507,98.896,2026-08-21
202508,98.938,2026-08-21
202509,99.013,2026-08-21
202510,99.22,2026-08-21
202511,99.521,2026-08-21
202512,99.806,2026-08-21
202601,100,2026-08-21
202602,100.299,2026-08-21
202603,100.647,2026-08-21
202604,100.871,2026-08-21
202605,101.042,2026-08-21
202606,101.282,2026-08-21
202607,101.572,2026-08-21
