TIME,DATA_VALUE,retrieved_at
19950923,12.75,2026-08-24
19950925,12.73,2026-08-24
19950926,12.7,2026-08-24
19950927,12.65,2026-08-24
19950928,12.56,2026-08-24
19950929,12.62,2026-08-24
19950930,12.55,2026-08-24
19951002,12.4,2026-08-24
19951004,12.35,2026-08-24
19951005,12.35,2026-08-24
19951006,12.35,2026-08-24
19951007,12.34,2026-08-24
19951009,12.25,2026-08-24
19951010,12.13,2026-08-24
19951011,12.13,2026-08-24
19951012,12.13,2026-08-24
19951013,12.12,2026-08-24
19951014,12.14,2026-08-24
19951016,12.2,2026-08-24
19951017,12.22,2026-08-24
19951018,12.22,2026-08-24
19951019,12.18,2026-08-24
19951020,12.06,2026-08-24
19951021,12.03,2026-08-24
19951023,12.08,2026-08-24
19951024,12.1,2026-08-24
19951025,12.08,2026-08-24
19951026,12.05,2026-08-24
19951027,12.05,2026-08-24
19951028,12.05,2026-08-24
19951030,12.05,2026-08-24
19951031,12.03,2026-08-24
19951101,11.95,2026-08-24
19951102,11.93,2026-08-24
19951103,11.98,2026-08-24
19951104,12,2026-08-24
19951106,12.04,2026-08-24
19951107,12.01,2026-08-24
19951108,12.02,2026-08-24
19951109,12.05,2026-08-24
19951110,12.07,2026-08-24
19951111,12.07,2026-08-24
19951113,12.08,2026-08-24
19951114,12.08,2026-08-24
19951115,12.08,2026-08-24
19951116,12.08,2026-08-24
19951117,12.08,2026-08-24
19951118,12.08,2026-08-24
19951120,12.08,2026-08-24
19951121,12.06,2026-08-24
19951122,12.05,2026-08-24
19951123,12,2026-08-24
19951124,11.95,2026-08-24
19951125,11.91,2026-08-24
19951127,11.81,2026-08-24
19951128,11.77,2026-08-24
19951129,11.75,2026-08-24
19951130,11.66,2026-08-24
19951201,11.55,2026-08-24
19951202,11.52,2026-08-24
19951204,11.5,2026-08-24
19951205,11.55,2026-08-24
19951206,11.56,2026-08-24
19951207,11.62,2026-08-24
19951208,11.58,2026-08-24
19951209,11.58,2026-08-24
19951211,11.52,2026-08-24
19951212,11.53,2026-08-24
19951213,11.47,2026-08-24
19951214,11.38,2026-08-24
19951215,11.42,2026-08-24
19951216,11.42,2026-08-24
19951218,11.44,2026-08-24
19951219,11.57,2026-08-24
19951220,11.67,2026-08-24
19951221,11.88,2026-08-24
19951222,11.88,2026-08-24
19951223,11.83,2026-08-24
19951226,11.9,2026-08-24
19951227,11.95,2026-08-24
19951228,11.98,2026-08-24
19951229,11.93,2026-08-24
19951230,11.93,2026-08-24
19960103,11.88,2026-08-24
19960104,11.9,2026-08-24
19960105,11.94,2026-08-24
19960106,11.9,2026-08-24
19960108,11.9,2026-08-24
19960109,11.9,2026-08-24
19960110,11.91,2026-08-24
19960111,11.88,2026-08-24
19960112,11.9,2026-08-24
19960113,11.9,2026-08-24
19960115,11.93,2026-08-24
19960116,11.97,2026-08-24
19960117,12.05,2026-08-24
19960118,12.15,2026-08-24
19960119,12.15,2026-08-24
19960120,12.13,2026-08-24
19960122,12.05,2026-08-24
19960123,12.08,2026-08-24
19960124,12.1,2026-08-24
19960125,12.13,2026-08-24
19960126,12.1,2026-08-24
19960127,12.1,2026-08-24
19960129,12.09,2026-08-24
19960130,12.06,2026-08-24
19960131,12.04,2026-08-24
19960201,12.01,2026-08-24
19960202,12,2026-08-24
19960203,12.05,2026-08-24
19960205,12.07,2026-08-24
19960206,12,2026-08-24
19960207,11.93,2026-08-24
19960208,11.92,2026-08-24
19960209,11.91,2026-08-24
19960210,11.91,2026-08-24
19960212,11.83,2026-08-24
19960213,11.82,2026-08-24
19960214,11.84,2026-08-24
19960215,11.82,2026-08-24
19960216,11.79,2026-08-24
19960217,11.79,2026-08-24
19960221,11.78,2026-08-24
19960222,11.83,2026-08-24
19960223,11.83,2026-08-24
19960224,11.8,2026-08-24
19960226,11.8,2026-08-24
19960227,11.84,2026-08-24
19960228,11.86,2026-08-24
19960229,11.86,2026-08-24
19960302,11.86,2026-08-24
19960304,11.9,2026-08-24
19960305,11.93,2026-08-24
19960306,11.97,2026-08-24
19960307,11.95,2026-08-24
19960308,11.92,2026-08-24
19960309,11.91,2026-08-24
19960311,11.89,2026-08-24
19960312,11.87,2026-08-24
19960313,11.9,2026-08-24
19960314,11.88,2026-08-24
19960315,11.87,2026-08-24
19960316,11.86,2026-08-24
19960318,11.79,2026-08-24
19960319,11.76,2026-08-24
19960320,11.75,2026-08-24
19960321,11.65,2026-08-24
19960322,11.57,2026-08-24
19960323,11.55,2026-08-24
19960325,11.54,2026-08-24
19960326,11.62,2026-08-24
19960327,11.6,2026-08-24
19960328,11.55,2026-08-24
19960329,11.49,2026-08-24
19960330,11.44,2026-08-24
19960401,11.28,2026-08-24
19960402,11.27,2026-08-24
19960403,11.38,2026-08-24
19960404,11.4,2026-08-24
19960406,11.42,2026-08-24
19960408,11.33,2026-08-24
19960409,11.2,2026-08-24
19960410,11.23,2026-08-24
19960412,11.2,2026-08-24
19960413,11.1,2026-08-24
19960415,11,2026-08-24
19960416,10.9,2026-08-24
19960417,10.94,2026-08-24
19960418,10.96,2026-08-24
19960419,11.03,2026-08-24
19960420,11,2026-08-24
19960422,10.9,2026-08-24
19960423,10.78,2026-08-24
19960424,10.67,2026-08-24
19960425,10.53,2026-08-24
19960426,10.4,2026-08-24
19960427,10.48,2026-08-24
19960429,10.46,2026-08-24
19960430,10.44,2026-08-24
19960502,10.57,2026-08-24
19960503,10.74,2026-08-24
19960504,10.68,2026-08-24
19960506,10.9,2026-08-24
19960507,10.8,2026-08-24
19960508,10.83,2026-08-24
19960509,10.8,2026-08-24
19960510,10.78,2026-08-24
19960511,10.78,2026-08-24
19960513,10.82,2026-08-24
19960514,10.9,2026-08-24
19960515,11.1,2026-08-24
19960516,11.21,2026-08-24
19960517,11.18,2026-08-24
19960518,11.13,2026-08-24
19960520,11.18,2026-08-24
19960521,11.18,2026-08-24
19960522,11.16,2026-08-24
19960523,11.11,2026-08-24
19960525,11.11,2026-08-24
19960527,11.25,2026-08-24
19960528,11.39,2026-08-24
19960529,11.43,2026-08-24
19960530,11.37,2026-08-24
19960531,11.36,2026-08-24
19960601,11.35,2026-08-24
19960603,11.35,2026-08-24
19960604,11.28,2026-08-24
19960605,11.2,2026-08-24
19960607,11.25,2026-08-24
19960608,11.3,2026-08-24
19960610,11.28,2026-08-24
19960611,11.28,2026-08-24
19960612,11.4,2026-08-24
19960613,11.5,2026-08-24
19960614,11.58,2026-08-24
19960615,11.58,2026-08-24
19960617,11.71,2026-08-24
19960618,11.71,2026-08-24
19960619,11.69,2026-08-24
19960620,11.65,2026-08-24
19960621,11.72,2026-08-24
19960622,11.72,2026-08-24
19960624,11.8,2026-08-24
19960625,11.8,2026-08-24
19960626,11.78,2026-08-24
19960627,11.79,2026-08-24
19960628,11.73,2026-08-24
19960629,11.7,2026-08-24
19960701,11.7,2026-08-24
19960702,11.75,2026-08-24
19960703,11.73,2026-08-24
19960704,11.75,2026-08-24
19960705,11.84,2026-08-24
19960706,11.9,2026-08-24
19960708,12,2026-08-24
19960709,11.98,2026-08-24
19960710,11.98,2026-08-24
19960711,11.88,2026-08-24
19960712,11.86,2026-08-24
19960713,11.83,2026-08-24
19960715,11.9,2026-08-24
19960716,11.92,2026-08-24
19960718,11.89,2026-08-24
19960719,11.89,2026-08-24
19960720,11.89,2026-08-24
19960722,11.92,2026-08-24
19960723,11.92,2026-08-24
19960724,11.95,2026-08-24
19960725,11.97,2026-08-24
19960726,12.02,2026-08-24
19960727,12.02,2026-08-24
19960729,12.02,2026-08-24
19960730,12.05,2026-08-24
19960731,12.1,2026-08-24
19960801,12.16,2026-08-24
19960802,12.15,2026-08-24
19960803,12.16,2026-08-24
19960805,12.23,2026-08-24
19960806,12.3,2026-08-24
19960807,12.32,2026-08-24
19960808,12.25,2026-08-24
19960809,12.2,2026-08-24
19960810,12.22,2026-08-24
19960812,12.3,2026-08-24
19960813,12.3,2026-08-24
19960814,12.34,2026-08-24
19960816,12.36,2026-08-24
19960817,12.36,2026-08-24
19960819,12.46,2026-08-24
19960820,12.49,2026-08-24
19960821,12.58,2026-08-24
19960822,12.58,2026-08-24
19960823,12.51,2026-08-24
19960824,12.49,2026-08-24
19960826,12.49,2026-08-24
19960827,12.52,2026-08-24
