,3Y realised21,3Y GARCH,10Y realised21,10Y GARCH
2020-01-03,,3.685137746234617,,4.672021276087006
2020-01-06,,3.880126752225295,,4.818779863797416
2020-01-07,,3.7079132698738917,,4.670081413499755
2020-01-08,,3.9407076548639695,,4.919441566299442
2020-01-09,,3.880522940756457,,4.766662455109332
2020-01-10,,4.010103015380869,,4.790100981145574
2020-01-13,,3.820849565965179,,4.681568022696143
2020-01-14,,3.660768303966661,,4.574681392441365
2020-01-15,,3.541427558208578,,4.455366334847484
2020-01-16,,3.3796568026760268,,4.346412946248705
2020-01-17,,3.3999355595807748,,4.220961836316573
2020-01-20,,3.245230739669701,,4.189177375109021
2020-01-21,,3.240582288241637,,4.083724029762755
2020-01-22,,3.505091953678665,,4.281546733167066
2020-01-23,,3.522175603843922,,4.262703037099754
2020-01-28,,3.377155372753485,,4.203648730803372
2020-01-29,,4.041903384090287,,4.788197191989603
2020-01-30,,3.9303651354949207,,4.686614719800905
2020-01-31,,3.7976201736656563,,4.565087400823713
2020-02-03,,3.632883323553392,,4.42704666040232
2020-02-04,3.5618213639332676,3.5330232849342473,4.419992458515435,4.296045899806784
2020-02-05,3.400364126160052,3.658668493665421,4.222913686070316,4.601107525315365
2020-02-06,3.4059471796368497,3.563225192148965,4.2278723682136805,4.52430759383499
2020-02-07,3.2143280420493476,3.412585526797166,3.889552551080782,4.398349674018947
2020-02-10,3.158081093081085,3.3507581759039717,3.890060594460117,4.277482665605752
2020-02-11,2.921863397608749,3.24794873291817,3.7083175494581124,4.14916693900148
2020-02-12,2.918047292282979,3.1020293764289515,3.687766132446446,4.030146371287492
2020-02-13,2.931463148408354,2.9631071515122334,3.6347594405237005,3.937120978739611
2020-02-14,3.231894623458953,2.9023561357223193,3.8370437529307333,3.829540192579675
2020-02-17,3.249351583668001,3.3285590772604055,3.9176888230544447,3.944611262751688
2020-02-18,3.2193906551514093,3.239150675332773,4.090022703394899,3.973699348146038
2020-02-19,3.2406642470186253,3.341973240949955,3.9795249776347745,4.145551810420026
2020-02-20,3.1818682741882545,3.2048960060532363,3.952202520355551,4.02156115657734
2020-02-21,3.2240170151979255,3.2547917220424494,4.0991869112463455,3.953472503460702
2020-02-24,3.121156684246893,3.60990463655536,3.9480254256912777,4.37613658165092
2020-02-25,3.2982535060962497,3.690230116929533,4.001934056237836,4.298259917319177
2020-02-26,3.045308648052732,3.6883721450929103,3.524533066000851,4.199192601925059
2020-02-27,3.3546414186346416,3.7940803713467925,3.6601392115080915,4.168714545194561
2020-02-28,3.836205962989497,4.041734109887411,4.39766713047682,4.169090754316649
2020-03-02,3.8881749911629164,4.828847867129455,4.572297536458537,5.030669682868285
2020-03-03,3.8768912435462646,4.66128840773548,4.5822847285315405,5.023188093578015
2020-03-04,4.003736350198992,4.439109787528521,4.412244866494244,4.867957810719442
2020-03-05,4.044455346226365,4.976744204292911,4.624705910855825,5.154742341863674
2020-03-06,4.1139368238314225,4.754097115793485,4.653206779558949,5.1514600462746545
2020-03-09,4.192050299589175,4.576202059655436,5.124660267485337,5.020940489989785
2020-03-10,4.460269050180714,4.6338714399253,5.7108084658245515,5.607071848291339
2020-03-11,4.457390866115883,4.8400012090460685,5.722016793970132,5.9917769362240225
2020-03-12,4.461795495943199,4.614917393972959,5.704346713566021,5.800997111381292
2020-03-13,5.095207832575901,4.462080465096493,7.97648627738639,5.621442568968782
2020-03-16,5.207522032049951,5.336794130735567,8.180310274706956,8.240134790823092
2020-03-17,5.253044468732026,5.851833807762682,8.354308839782991,8.369570178232221
2020-03-18,5.3447081082042915,5.741292712820642,8.498957919314918,8.415534082191385
2020-03-19,6.2992781143480805,5.602040361701437,9.206824590900984,8.405124087214475
2020-03-20,6.445940028975046,6.992022757133541,9.237418728297685,9.08363807255144
2020-03-23,6.403083334650279,7.032352876150124,9.265291093517737,8.840479655808691
2020-03-24,6.369977947184667,6.798416410214904,9.242536242313376,8.967702335020922
2020-03-25,6.353435516092282,6.527246634899835,9.582618192778602,8.678559964585542
2020-03-26,6.313002455250588,6.28840569814217,9.917656213133464,8.780723347473828
2020-03-27,6.161531967820678,6.049852519187275,9.90497229630029,8.976583400982435
2020-03-30,5.9013477072533815,5.751028625291561,9.509288692040613,8.71663881183081
2020-03-31,5.920682071389762,5.597041019570135,9.487495529831435,8.46219762808762
2020-04-01,5.940410439563596,5.434608572848671,9.487957279274257,8.19124555316765
2020-04-02,5.6919241034996215,5.205248008253181,9.318131327072583,7.921331944382062
2020-04-03,5.686575670572127,5.058766266628992,9.28598278000106,7.71177736413908
2020-04-06,5.666530810696383,4.817611245088948,9.28329015976966,7.497061940135402
2020-04-07,5.561710083024737,4.585589694042276,8.882111503573054,7.251278977049156
2020-04-08,5.4183330770019404,4.382870211900487,8.828552165181637,7.052584107272737
2020-04-09,5.433735012905596,4.293313530188422,8.988709849689487,7.024744063290561
2020-04-10,5.428316410050085,4.151688331740621,8.989083326325277,7.023610870665174
2020-04-13,4.920312611051883,4.014399107615328,7.134023108617307,6.800273765806804
2020-04-14,4.524188956518697,3.9182731329351244,6.8042143803185215,6.598670387581047
2020-04-16,4.424547326859446,3.734157884372123,6.565998273936214,6.393242233495795
2020-04-17,4.352388506818496,3.573213160406669,6.32462684764127,6.277644531538813
2020-04-20,2.825268634509445,3.4657026537228495,5.106494464335167,6.11953903902747
2020-04-21,2.4742964367963003,3.3096498982196283,5.086190453899001,5.925432450261833
2020-04-22,2.275804410375752,3.221673157887447,4.854119507230551,5.745124059908497
2020-04-23,2.2190731655999376,3.083800721672757,4.866738420866981,5.964857931140062
2020-04-24,2.154673768257984,2.984039559179082,4.37223926500783,5.777225398560126
2020-04-27,2.1301687838335868,2.9215850562705006,3.681653355297241,5.602515007421622
2020-04-28,2.133284969689886,2.857394087597532,3.682817244602679,5.5431411330261415
2020-04-29,1.961279951363156,2.735794670892044,3.6974959351534396,5.413972418873928
