series,n_changes,omega,alpha1,beta1,persistence_a_plus_b,uncond_sigma_bp_per_day,halflife_days,loglik,realised21_last_bp,cond_last_bp,cond_min_bp,cond_max_bp
KTB 3Y,1633,0.12363297839842857,0.10041118228207628,0.8995888200991765,1.0000000023812528,,,-4582.0754517945925,3.8763999007424688,3.948417744496096,1.4184812511543043,16.267399888528818
KTB 10Y,1633,0.13814011799232656,0.06429238093374284,0.9330377870247416,0.9973301679584845,7.193130523226928,259.2752893214887,-4785.962955797702,4.516920569212123,4.603180842110148,2.4915582973201857,11.374378639704023
