asset,instrument,point,years,yield_pct,engine_clean,indep_clean,resid_clean,engine_dirty,indep_dirty,resid_dirty,engine_accrued,indep_accrued,resid_accrued,engine_dv01,indep_dv01,resid_dv01,semiannual_dirty,convention_gap_dirty,convention_gap_dirty_bp_price,semiannual_dv01,convention_gap_dv01,convention_gap_dv01_pct,engine_npv,indep_npv,resid_npv,resid_npv_bp_of_notional,indep_par_pct,market_par_pct,par_resid_bp,n_pay_dates
KTB 3M,bond,t0,0.25,3.016,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.481291065759006e-05,2.481291065759006e-05,0.0,,,,,,,,,,,,,,
KTB 3M,bond,t+90d,0.25,3.016,0.9999996169144483,0.9999996169144483,0.0,1.0074363292432154,1.0074363292432154,0.0,0.007436712328767123,0.007436712328767123,0.0,3.4243051549864845e-07,3.4243051549864845e-07,0.0,,,,,,,,,,,,,,
KTB 6M,bond,t0,0.5,3.098,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.942506598004659e-05,4.942506598004659e-05,0.0,1.0,0.0,0.0,4.923731403583265e-05,-1.8775194421394303e-07,-0.3798719141614104,,,,,,,,
KTB 6M,bond,t+90d,0.5,3.098,0.9999995958282129,0.9999995958282129,0.0,1.0076384999378019,1.0076384999378019,0.0,0.00763890410958904,0.00763890410958904,0.0,2.514767093186876e-05,2.514767093186876e-05,0.0,1.0076091482935856,-2.9351644216246697e-05,-0.293516442162467,2.5145792024616753e-05,-1.8789072520064565e-09,-0.007471496096385544,,,,,,,,
KTB 9M,bond,t0,0.75,3.345,0.9999999999999999,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0,7.376289112759338e-05,7.376289112759338e-05,0.0,,,,,,,,,,,,,,
KTB 9M,bond,t+90d,0.75,3.345,0.9999995289084865,0.9999995289084865,0.0,1.008247474113966,1.008247474113966,0.0,0.008247945205479452,0.008247945205479452,0.0,4.971652712681962e-05,4.971652712693064e-05,1.1102230246251565e-16,,,,,,,,,,,,,,
KTB 1Y,bond,t0,1.0,3.446,0.9999999999999999,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0,9.788280733413757e-05,9.788280733413757e-05,0.0,1.0,1.1102230246251565e-16,1.1102230246251565e-12,9.747362183620822e-05,-4.09185497929343e-07,-0.418036128175735,,,,,,,,
KTB 1Y,bond,t+90d,1.0,3.446,0.9999995000728329,0.9999995000728329,0.0,1.0084964863742027,1.0084964863742027,0.0,0.008496986301369863,0.008496986301369863,0.0,7.405983028230256e-05,7.405983028241359e-05,1.1102230246251565e-16,1.0084602018211248,-3.628455307791434e-05,-0.3628455307791434,7.385331291454023e-05,-2.0651736776233776e-07,-0.27885206727470374,,,,,,,,
KTB 1.5Y,bond,t0,1.5,3.553,1.0000000000000004,1.0000000000000004,0.0,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,0.0001454449770458277,0.0001454449770458277,0.0,1.0,-4.440892098500626e-16,-4.440892098500626e-12,0.00014482419514749711,-6.207818983305913e-07,-0.4268156322338938,,,,,,,,
KTB 1.5Y,bond,t+90d,1.5,3.553,0.9999994685926225,0.9999994685926225,0.0,1.0087602905104307,1.0087602905104307,0.0,0.008760821917808219,0.008760821917808219,0.0,0.00012206456982777336,0.00012206456982766234,-1.1102230246251565e-16,1.0087217279905747,-3.8562519856011335e-05,-0.38562519856011335,0.00012164887064725072,-4.15699180522644e-07,-0.3405567898278538,,,,,,,,
